timestamp,is_success,is_handover,hops,distance_km,delay_ms,path_str
2026-07-15 06:29:35.619217+00:00,False,False,,,,
2026-07-15 06:29:36.619217+00:00,False,False,,,,
2026-07-15 06:29:37.619217+00:00,False,False,,,,
2026-07-15 06:29:38.619217+00:00,False,False,,,,
2026-07-15 06:29:39.619217+00:00,False,False,,,,
2026-07-15 06:29:40.619217+00:00,False,False,,,,
2026-07-15 06:29:41.619217+00:00,False,False,,,,
2026-07-15 06:29:42.619217+00:00,False,False,,,,
2026-07-15 06:29:43.619217+00:00,False,False,,,,
2026-07-15 06:29:44.619217+00:00,False,False,,,,
2026-07-15 06:29:45.619217+00:00,False,False,,,,
2026-07-15 06:29:46.619217+00:00,False,False,,,,
2026-07-15 06:29:47.619217+00:00,False,False,,,,
2026-07-15 06:29:48.619217+00:00,False,False,,,,
2026-07-15 06:29:49.619217+00:00,False,False,,,,
2026-07-15 06:29:50.619217+00:00,False,False,,,,
2026-07-15 06:29:51.619217+00:00,False,False,,,,
2026-07-15 06:29:52.619217+00:00,False,False,,,,
2026-07-15 06:29:53.619217+00:00,False,False,,,,
2026-07-15 06:29:54.619217+00:00,False,False,,,,
2026-07-15 06:29:55.619217+00:00,False,False,,,,
2026-07-15 06:29:56.619217+00:00,False,False,,,,
2026-07-15 06:29:57.619217+00:00,False,False,,,,
2026-07-15 06:29:58.619217+00:00,False,False,,,,
2026-07-15 06:29:59.619217+00:00,False,False,,,,
2026-07-15 06:30:00.619217+00:00,False,False,,,,
2026-07-15 06:30:01.619217+00:00,False,False,,,,
2026-07-15 06:30:02.619217+00:00,False,False,,,,
2026-07-15 06:30:03.619217+00:00,False,False,,,,
2026-07-15 06:30:04.619217+00:00,False,False,,,,
2026-07-15 06:30:05.619217+00:00,False,False,,,,
2026-07-15 06:30:06.619217+00:00,False,False,,,,
2026-07-15 06:30:07.619217+00:00,False,False,,,,
2026-07-15 06:30:08.619217+00:00,False,False,,,,
2026-07-15 06:30:09.619217+00:00,False,False,,,,
2026-07-15 06:30:10.619217+00:00,False,False,,,,
2026-07-15 06:30:11.619217+00:00,False,False,,,,
2026-07-15 06:30:12.619217+00:00,False,False,,,,
2026-07-15 06:30:13.619217+00:00,False,False,,,,
2026-07-15 06:30:14.619217+00:00,False,False,,,,
2026-07-15 06:30:15.619217+00:00,False,False,,,,
2026-07-15 06:30:16.619217+00:00,False,False,,,,
2026-07-15 06:30:17.619217+00:00,False,False,,,,
2026-07-15 06:30:18.619217+00:00,False,False,,,,
2026-07-15 06:30:19.619217+00:00,False,False,,,,
2026-07-15 06:30:20.619217+00:00,False,False,,,,
2026-07-15 06:30:21.619217+00:00,False,False,,,,
2026-07-15 06:30:22.619217+00:00,False,False,,,,
2026-07-15 06:30:23.619217+00:00,False,False,,,,
2026-07-15 06:30:24.619217+00:00,False,False,,,,
2026-07-15 06:30:25.619217+00:00,False,False,,,,
2026-07-15 06:30:26.619217+00:00,False,False,,,,
2026-07-15 06:30:27.619217+00:00,False,False,,,,
2026-07-15 06:30:28.619217+00:00,False,False,,,,
2026-07-15 06:30:29.619217+00:00,False,False,,,,
2026-07-15 06:30:30.619217+00:00,False,False,,,,
2026-07-15 06:30:31.619217+00:00,False,False,,,,
2026-07-15 06:30:32.619217+00:00,False,False,,,,
2026-07-15 06:30:33.619217+00:00,False,False,,,,
2026-07-15 06:30:34.619217+00:00,False,False,,,,
2026-07-15 06:30:35.619217+00:00,False,False,,,,
2026-07-15 06:30:36.619217+00:00,False,False,,,,
2026-07-15 06:30:37.619217+00:00,False,False,,,,
2026-07-15 06:30:38.619217+00:00,False,False,,,,
2026-07-15 06:30:39.619217+00:00,False,False,,,,
2026-07-15 06:30:40.619217+00:00,False,False,,,,
2026-07-15 06:30:41.619217+00:00,False,False,,,,
2026-07-15 06:30:42.619217+00:00,False,False,,,,
2026-07-15 06:30:43.619217+00:00,False,False,,,,
2026-07-15 06:30:44.619217+00:00,False,False,,,,
2026-07-15 06:30:45.619217+00:00,False,False,,,,
2026-07-15 06:30:46.619217+00:00,False,False,,,,
2026-07-15 06:30:47.619217+00:00,False,False,,,,
2026-07-15 06:30:48.619217+00:00,False,False,,,,
2026-07-15 06:30:49.619217+00:00,False,False,,,,
2026-07-15 06:30:50.619217+00:00,False,False,,,,
2026-07-15 06:30:51.619217+00:00,False,False,,,,
2026-07-15 06:30:52.619217+00:00,False,False,,,,
2026-07-15 06:30:53.619217+00:00,False,False,,,,
2026-07-15 06:30:54.619217+00:00,False,False,,,,
2026-07-15 06:30:55.619217+00:00,False,False,,,,
2026-07-15 06:30:56.619217+00:00,False,False,,,,
2026-07-15 06:30:57.619217+00:00,False,False,,,,
2026-07-15 06:30:58.619217+00:00,False,False,,,,
2026-07-15 06:30:59.619217+00:00,False,False,,,,
2026-07-15 06:31:00.619217+00:00,False,False,,,,
2026-07-15 06:31:01.619217+00:00,False,False,,,,
2026-07-15 06:31:02.619217+00:00,False,False,,,,
2026-07-15 06:31:03.619217+00:00,False,False,,,,
2026-07-15 06:31:04.619217+00:00,False,False,,,,
2026-07-15 06:31:05.619217+00:00,False,False,,,,
2026-07-15 06:31:06.619217+00:00,False,False,,,,
2026-07-15 06:31:07.619217+00:00,False,False,,,,
2026-07-15 06:31:08.619217+00:00,False,False,,,,
2026-07-15 06:31:09.619217+00:00,False,False,,,,
2026-07-15 06:31:10.619217+00:00,False,False,,,,
2026-07-15 06:31:11.619217+00:00,False,False,,,,
2026-07-15 06:31:12.619217+00:00,False,False,,,,
2026-07-15 06:31:13.619217+00:00,False,False,,,,
2026-07-15 06:31:14.619217+00:00,False,False,,,,
2026-07-15 06:31:15.619217+00:00,False,False,,,,
2026-07-15 06:31:16.619217+00:00,False,False,,,,
2026-07-15 06:31:17.619217+00:00,False,False,,,,
2026-07-15 06:31:18.619217+00:00,False,False,,,,
2026-07-15 06:31:19.619217+00:00,False,False,,,,
2026-07-15 06:31:20.619217+00:00,False,False,,,,
2026-07-15 06:31:21.619217+00:00,False,False,,,,
2026-07-15 06:31:22.619217+00:00,False,False,,,,
2026-07-15 06:31:23.619217+00:00,False,False,,,,
2026-07-15 06:31:24.619217+00:00,False,False,,,,
2026-07-15 06:31:25.619217+00:00,False,False,,,,
2026-07-15 06:31:26.619217+00:00,False,False,,,,
2026-07-15 06:31:27.619217+00:00,False,False,,,,
2026-07-15 06:31:28.619217+00:00,False,False,,,,
2026-07-15 06:31:29.619217+00:00,False,False,,,,
2026-07-15 06:31:30.619217+00:00,False,False,,,,
2026-07-15 06:31:31.619217+00:00,False,False,,,,
2026-07-15 06:31:32.619217+00:00,False,False,,,,
2026-07-15 06:31:33.619217+00:00,False,False,,,,
2026-07-15 06:31:34.619217+00:00,False,False,,,,
2026-07-15 06:31:35.619217+00:00,False,False,,,,
2026-07-15 06:31:36.619217+00:00,False,False,,,,
2026-07-15 06:31:37.619217+00:00,False,False,,,,
2026-07-15 06:31:38.619217+00:00,False,False,,,,
2026-07-15 06:31:39.619217+00:00,False,False,,,,
2026-07-15 06:31:40.619217+00:00,False,False,,,,
2026-07-15 06:31:41.619217+00:00,False,False,,,,
2026-07-15 06:31:42.619217+00:00,False,False,,,,
2026-07-15 06:31:43.619217+00:00,False,False,,,,
2026-07-15 06:31:44.619217+00:00,False,False,,,,
2026-07-15 06:31:45.619217+00:00,False,False,,,,
2026-07-15 06:31:46.619217+00:00,False,False,,,,
2026-07-15 06:31:47.619217+00:00,False,False,,,,
2026-07-15 06:31:48.619217+00:00,False,False,,,,
2026-07-15 06:31:49.619217+00:00,False,False,,,,
2026-07-15 06:31:50.619217+00:00,False,False,,,,
